ds,y,month,quarter,is_holiday_spike
2014-01-03,16.448,1,1,0
2014-01-04,288.06,1,1,0
2014-01-05,19.536,1,1,0
2014-01-06,4407.1,1,1,0
2014-01-07,87.15799999999999,1,1,0
2014-01-09,40.544,1,1,0
2014-01-10,54.83,1,1,0
2014-01-11,9.94,1,1,0
2014-01-13,3553.795,1,1,0
2014-01-14,61.96,1,1,0
2014-01-15,149.95,1,1,0
2014-01-16,299.964,1,1,0
2014-01-18,64.864,1,1,0
2014-01-19,378.594,1,1,0
2014-01-20,2673.87,1,1,0
2014-01-21,25.248,1,1,0
2014-01-23,46.019999999999996,1,1,0
2014-01-26,1097.25,1,1,0
2014-01-27,426.67,1,1,0
2014-01-28,3.928,1,1,0
2014-01-30,240.5,1,1,0
2014-01-31,290.666,1,1,0
2014-02-01,468.9,2,1,0
2014-02-02,211.64600000000002,2,1,0
2014-02-03,97.11200000000001,2,1,0
2014-02-04,134.38400000000001,2,1,0
2014-02-06,330.512,2,1,0
2014-02-07,180.32,2,1,0
2014-02-08,14.56,2,1,0
2014-02-11,2043.4,2,1,0
2014-02-12,129.568,2,1,0
2014-02-14,576.726,2,1,0
2014-02-15,21.36,2,1,0
2014-02-16,9.04,2,1,0
2014-02-17,54.208,2,1,0
2014-02-18,37.784,2,1,0
2014-02-20,95.59,2,1,0
2014-02-21,8.85,2,1,0
2014-02-22,19.44,2,1,0
2014-02-23,11.364,2,1,0
2014-02-24,55.672,2,1,0
2014-02-27,19.456,2,1,0
2014-03-01,2203.151,3,1,0
2014-03-02,202.384,3,1,0
2014-03-03,1345.8919999999998,3,1,0
2014-03-04,370.452,3,1,0
2014-03-05,705.562,3,1,0
2014-03-07,1561.062,3,1,0
2014-03-10,741.956,3,1,0
2014-03-11,918.314,3,1,0
2014-03-14,2108.55,3,1,0
2014-03-15,370.78200000000004,3,1,0
2014-03-16,471.92,3,1,0
2014-03-17,3960.358,3,1,0
2014-03-18,28106.716,3,1,0
2014-03-19,590.762,3,1,0
2014-03-21,4109.816,3,1,0
2014-03-22,464.09299999999996,3,1,0
2014-03-23,945.064,3,1,0
2014-03-24,65.38,3,1,0
2014-03-25,459.146,3,1,0
2014-03-26,145.13,3,1,0
2014-03-28,1823.8039999999999,3,1,0
2014-03-29,890.841,3,1,0
2014-03-30,1170.3220000000001,3,1,0
2014-03-31,1959.552,3,1,0
2014-04-01,119.88799999999999,4,2,0
2014-04-02,1458.558,4,2,0
2014-04-03,233.45,4,2,0
2014-04-04,475.844,4,2,0
2014-04-05,5295.098000000001,4,2,0
2014-04-06,1650.69,4,2,0
2014-04-07,1021.1700000000001,4,2,0
2014-04-08,1958.75,4,2,0
2014-04-11,1915.24,4,2,0
2014-04-12,1912.123,4,2,0
2014-04-13,638.576,4,2,0
2014-04-15,294.71999999999997,4,2,0
2014-04-16,39.072,4,2,0
2014-04-18,1020.532,4,2,0
2014-04-19,205.47,4,2,0
2014-04-20,1250.45,4,2,0
2014-04-21,845.36,4,2,0
2014-04-22,257.752,4,2,0
2014-04-23,643.98,4,2,0
2014-04-25,2379.9939999999997,4,2,0
2014-04-26,282.568,4,2,0
2014-04-28,2578.476,4,2,0
2014-04-29,768.8439999999999,4,2,0
2014-04-30,1048.74,4,2,0
2014-05-02,506.12,5,2,0
2014-05-03,72.632,5,2,0
2014-05-04,187.43200000000002,5,2,0
2014-05-05,260.977,5,2,0
2014-05-06,254.456,5,2,0
2014-05-07,1091.35,5,2,0
2014-05-08,1799.97,5,2,0
2014-05-09,394.48,5,2,0
2014-05-10,2343.799,5,2,0
2014-05-11,1642.802,5,2,0
2014-05-12,734.846,5,2,0
2014-05-13,898.382,5,2,0
2014-05-14,310.88,5,2,0
2014-05-16,289.28,5,2,0
2014-05-17,91.68,5,2,0
2014-05-18,948.9480000000001,5,2,0
2014-05-19,91.62,5,2,0
2014-05-20,320.10400000000004,5,2,0
2014-05-21,4264.3279999999995,5,2,0
2014-05-22,180.93,5,2,0
2014-05-23,323.75800000000004,5,2,0
2014-05-24,116.28,5,2,0
2014-05-25,119.53999999999999,5,2,0
2014-05-26,1325.718,5,2,0
2014-05-27,2157.394,5,2,0
2014-05-28,221.96800000000002,5,2,0
2014-05-30,1924.913,5,2,0
2014-05-31,773.7,5,2,0
2014-06-01,5188.5199999999995,6,2,0
2014-06-02,738.598,6,2,0
2014-06-03,741.336,6,2,0
2014-06-04,456.272,6,2,0
2014-06-06,1374.0010000000002,6,2,0
2014-06-07,281.397,6,2,0
2014-06-08,2501.264,6,2,0
2014-06-09,5463.008,6,2,0
2014-06-10,491.55,6,2,0
2014-06-13,14.52,6,2,0
2014-06-14,212.94,6,2,0
2014-06-15,942.9739999999999,6,2,0
2014-06-16,763.792,6,2,0
2014-06-17,3418.5020000000004,6,2,0
2014-06-18,139.8,6,2,0
2014-06-20,1828.9496,6,2,0
2014-06-21,4107.443,6,2,0
2014-06-22,1975.498,6,2,0
2014-06-23,109.49600000000001,6,2,0
2014-06-24,4.272,6,2,0
2014-06-25,792.76,6,2,0
2014-06-27,616.14,6,2,0
2014-06-28,1645.791,6,2,0
2014-06-29,46.68,6,2,0
2014-06-30,739.624,6,2,0
2014-07-01,601.0239999999999,7,3,0
2014-07-02,79.56,7,3,0
2014-07-04,247.40800000000002,7,3,0
2014-07-05,1444.104,7,3,0
2014-07-06,1038.472,7,3,0
2014-07-07,241.19400000000002,7,3,0
2014-07-08,763.0740000000001,7,3,0
2014-07-09,265.521,7,3,0
2014-07-11,2187.206,7,3,0
2014-07-12,1960.012,7,3,0
2014-07-13,351.216,7,3,0
2014-07-14,292.594,7,3,0
2014-07-15,9.51,7,3,0
2014-07-18,273.04,7,3,0
2014-07-19,461.326,7,3,0
2014-07-20,2285.786,7,3,0
2014-07-21,1961.482,7,3,0
2014-07-22,1348.344,7,3,0
2014-07-23,2613.1839999999997,7,3,0
2014-07-25,8341.289999999999,7,3,0
2014-07-26,5039.994,7,3,0
2014-07-27,580.06,7,3,0
2014-07-28,193.152,7,3,0
2014-07-30,1367.84,7,3,0
2014-08-01,228.328,8,3,0
2014-08-02,886.28,8,3,0
2014-08-03,477.994,8,3,0
2014-08-04,2743.154,8,3,0
2014-08-05,2408.7239999999997,8,3,0
2014-08-06,262.89,8,3,0
2014-08-08,3955.629,8,3,0
2014-08-09,3605.6850000000004,8,3,0
2014-08-11,451.62,8,3,0
2014-08-12,1832.38,8,3,0
2014-08-15,842.7819999999999,8,3,0
2014-08-16,853.092,8,3,0
2014-08-17,500.342,8,3,0
2014-08-19,1439.106,8,3,0
2014-08-20,1838.722,8,3,0
2014-08-22,23.104,8,3,0
2014-08-23,565.224,8,3,0
2014-08-24,59.74,8,3,0
2014-08-25,1451.6499999999999,8,3,0
2014-08-26,366.81,8,3,0
2014-08-27,2070.13,8,3,0
2014-08-29,832.3225,8,3,0
2014-08-30,121.24,8,3,0
2014-08-31,92.52,8,3,0
2014-09-01,469.436,9,3,0
2014-09-02,3254.15,9,3,0
2014-09-03,22.08,9,3,0
2014-09-05,296.304,9,3,0
2014-09-06,100.36,9,3,0
2014-09-07,3523.875,9,3,0
2014-09-08,14228.428,9,3,0
2014-09-09,4043.5879999999997,9,3,0
2014-09-10,1855.2279999999998,9,3,0
2014-09-11,127.95,9,3,0
2014-09-12,4904.66,9,3,0
2014-09-13,1275.408,9,3,0
2014-09-14,5023.716,9,3,0
2014-09-15,133.436,9,3,0
2014-09-16,33.552,9,3,0
2014-09-17,820.523,9,3,0
2014-09-19,9338.637,9,3,0
2014-09-20,5335.968000000001,9,3,0
2014-09-21,2679.652,9,3,0
2014-09-22,1240.266,9,3,0
2014-09-23,10662.337000000001,9,3,0
2014-09-24,211.96,9,3,0
2014-09-25,354.88880000000006,9,3,0
2014-09-26,1480.614,9,3,0
2014-09-27,773.4399999999999,9,3,0
2014-09-28,490.29200000000003,9,3,0
2014-09-29,8109.07,9,3,0
2014-09-30,987.532,9,3,0
2014-10-01,4.71,10,4,0
2014-10-02,598.144,10,4,0
2014-10-03,862.683,10,4,0
2014-10-04,728.7479999999999,10,4,0
2014-10-05,191.9,10,4,0
2014-10-06,494.71,10,4,0
2014-10-07,237.35999999999999,10,4,0
2014-10-08,147.392,10,4,0
2014-10-09,249.35999999999999,10,4,0
2014-10-10,2049.386,10,4,0
2014-10-11,1381.164,10,4,0
2014-10-12,58.53,10,4,0
2014-10-13,2212.182,10,4,0
2014-10-14,4525.484,10,4,0
2014-10-15,206.72400000000002,10,4,0
2014-10-16,194.322,10,4,0
2014-10-17,136.068,10,4,0
2014-10-18,3134.916,10,4,0
2014-10-19,641.104,10,4,0
2014-10-20,1501.104,10,4,0
2014-10-21,1356.602,10,4,0
2014-10-22,223.808,10,4,0
2014-10-24,56.49,10,4,0
2014-10-25,103.882,10,4,0
2014-10-26,447.88,10,4,0
2014-10-27,22.32,10,4,0
2014-10-28,1510.5819999999999,10,4,0
2014-10-29,2813.8120000000004,10,4,0
2014-10-31,5362.026,10,4,0
2014-11-01,4732.08,11,4,1
2014-11-02,2126.37,11,4,1
2014-11-03,2784.163,11,4,1
2014-11-04,6693.7480000000005,11,4,1
2014-11-05,1694.564,11,4,1
2014-11-06,43.68,11,4,1
2014-11-07,1449.142,11,4,1
2014-11-08,333.576,11,4,1
2014-11-09,1574.094,11,4,1
2014-11-10,2002.556,11,4,1
2014-11-11,8114.548,11,4,1
2014-11-12,1054.7612,11,4,1
2014-11-14,1034.73,11,4,1
2014-11-15,1780.822,11,4,1
2014-11-16,1355.9285,11,4,1
2014-11-17,11544.274,11,4,1
2014-11-18,3406.855,11,4,1
2014-11-19,7226.086,11,4,1
2014-11-20,907.5600000000001,11,4,1
2014-11-21,1249.622,11,4,1
2014-11-22,1103.298,11,4,1
2014-11-23,1363.28,11,4,1
2014-11-24,5578.606,11,4,1
2014-11-25,4415.695,11,4,1
2014-11-26,1705.99,11,4,1
2014-11-27,203.66,11,4,1
2014-11-28,2280.83,11,4,1
2014-11-29,649.044,11,4,1
2014-11-30,219.154,11,4,1
2014-12-01,5624.39,12,4,1
2014-12-02,1771.808,12,4,1
2014-12-03,505.88,12,4,1
2014-12-04,129.98,12,4,1
2014-12-05,2963.642,12,4,1
2014-12-06,1970.978,12,4,1
2014-12-07,548.4,12,4,1
2014-12-08,1095.12,12,4,1
2014-12-09,1522.652,12,4,1
2014-12-10,573.336,12,4,1
2014-12-12,4938.4045,12,4,1
2014-12-13,293.152,12,4,1
2014-12-14,7641.658,12,4,1
2014-12-15,1264.466,12,4,1
2014-12-16,4394.187,12,4,1
2014-12-17,45.534,12,4,1
2014-12-19,3436.7599999999998,12,4,1
2014-12-20,6962.4400000000005,12,4,1
2014-12-21,1933.44,12,4,1
2014-12-22,798.968,12,4,1
2014-12-23,942.108,12,4,1
2014-12-24,1950.202,12,4,1
2014-12-26,2041.414,12,4,1
2014-12-27,2966.388,12,4,1
2014-12-28,3732.2960000000003,12,4,1
2014-12-29,2072.096,12,4,1
2014-12-30,2172.6510000000003,12,4,1
2014-12-31,5253.2699999999995,12,4,1
2015-01-02,1932.096,1,1,0
2015-01-03,1768.2215999999999,1,1,0
2015-01-04,264.46000000000004,1,1,0
2015-01-05,295.272,1,1,0
2015-01-06,31.538,1,1,0
2015-01-09,364.07,1,1,0
2015-01-10,1018.104,1,1,0
2015-01-12,854.614,1,1,0
2015-01-13,622.278,1,1,0
2015-01-17,350.384,1,1,0
2015-01-19,301.742,1,1,0
2015-01-23,43.66,1,1,0
2015-01-24,13.12,1,1,0
2015-01-26,182.72,1,1,0
2015-01-27,3573.252,1,1,0
2015-01-28,4297.644,1,1,0
2015-01-30,2161.6400000000003,1,1,0
2015-01-31,99.26,1,1,0
2015-02-03,492.836,2,1,0
2015-02-06,2432.544,2,1,0
2015-02-07,324.10999999999996,2,1,0
2015-02-08,129.09199999999998,2,1,0
2015-02-09,785.5519999999999,2,1,0
2015-02-10,77.24,2,1,0
2015-02-14,1079.962,2,1,0
2015-02-15,1602.38,2,1,0
2015-02-16,160.43,2,1,0
2015-02-18,105.844,2,1,0
2015-02-20,316.78000000000003,2,1,0
2015-02-21,2591.1,2,1,0
2015-02-22,79.36,2,1,0
2015-02-23,37.775999999999996,2,1,0
2015-02-25,25.869999999999997,2,1,0
2015-02-27,1159.2710000000002,2,1,0
2015-02-28,551.264,2,1,0
2015-03-01,1642.1743999999999,3,1,0
2015-03-02,899.5699999999999,3,1,0
2015-03-05,1969.267,3,1,0
2015-03-06,1555.244,3,1,0
2015-03-07,807.54,3,1,0
2015-03-08,2563.2960000000003,3,1,0
2015-03-09,478.008,3,1,0
2015-03-10,90.93199999999999,3,1,0
2015-03-12,51.016000000000005,3,1,0
2015-03-13,1384.856,3,1,0
2015-03-14,707.9000000000001,3,1,0
2015-03-15,16.776,3,1,0
2015-03-16,7230.209999999999,3,1,0
2015-03-17,48.84,3,1,0
2015-03-19,5652.9396,3,1,0
2015-03-20,1548.194,3,1,0
2015-03-21,1270.3790000000001,3,1,0
2015-03-22,2481.424,3,1,0
2015-03-23,633.302,3,1,0
2015-03-24,412.95,3,1,0
2015-03-26,4623.37,3,1,0
2015-03-27,83.7,3,1,0
2015-03-28,243.344,3,1,0
2015-03-29,1559.0800000000002,3,1,0
2015-03-30,571.224,3,1,0
2015-03-31,200.716,3,1,0
2015-04-02,299.22,4,2,0
2015-04-04,1484.598,4,2,0
2015-04-05,2974.058,4,2,0
2015-04-06,140.004,4,2,0
2015-04-07,907.436,4,2,0
2015-04-09,757.992,4,2,0
2015-04-10,169.54199999999997,4,2,0
2015-04-11,1328.346,4,2,0
2015-04-12,40.74,4,2,0
2015-04-13,3192.6780000000003,4,2,0
2015-04-14,35.208,4,2,0
2015-04-16,4161.972,4,2,0
2015-04-17,2745.106,4,2,0
2015-04-18,2006.96,4,2,0
2015-04-19,329.96,4,2,0
2015-04-20,1194.726,4,2,0
2015-04-21,893.0899999999999,4,2,0
2015-04-22,152.916,4,2,0
2015-04-24,25.99,4,2,0
2015-04-25,920.946,4,2,0
2015-04-26,2090.1055,4,2,0
2015-04-27,2719.59,4,2,0
2015-04-28,4044.3619999999996,4,2,0
2015-04-29,7.968,4,2,0
2015-04-30,1571.695,4,2,0
2015-05-01,450.94,5,2,0
2015-05-02,167.232,5,2,0
2015-05-03,2198.76,5,2,0
2015-05-04,1121.362,5,2,0
2015-05-07,305.622,5,2,0
2015-05-08,3981.968,5,2,0
2015-05-09,48.81,5,2,0
2015-05-10,154.442,5,2,0
2015-05-11,191.968,5,2,0
2015-05-12,1060.35,5,2,0
2015-05-13,238.384,5,2,0
2015-05-14,3141.1994999999997,5,2,0
2015-05-15,69.908,5,2,0
2015-05-16,255.968,5,2,0
2015-05-17,134.46800000000002,5,2,0
2015-05-18,10.86,5,2,0
2015-05-20,169.54399999999998,5,2,0
2015-05-21,72.332,5,2,0
2015-05-22,3862.0980000000004,5,2,0
2015-05-23,1304.956,5,2,0
2015-05-24,610.3069999999999,5,2,0
2015-05-25,1739.4180000000001,5,2,0
2015-05-26,982.5640000000001,5,2,0
2015-05-28,794.146,5,2,0
2015-05-29,1204.842,5,2,0
2015-05-30,681.1,5,2,0
2015-05-31,5178.138,5,2,0
2015-06-01,834.1980000000001,6,2,0
2015-06-04,1192.31,6,2,0
2015-06-05,1533.1979999999999,6,2,0
2015-06-07,59.768,6,2,0
2015-06-08,1083.112,6,2,0
2015-06-09,797.116,6,2,0
2015-06-11,3373.5640000000003,6,2,0
2015-06-12,174.476,6,2,0
2015-06-13,1128.898,6,2,0
2015-06-14,51.072,6,2,0
2015-06-15,734.144,6,2,0
2015-06-16,3443.904,6,2,0
2015-06-18,1883.087,6,2,0
2015-06-19,446.346,6,2,0
2015-06-20,829.544,6,2,0
2015-06-21,107.976,6,2,0
2015-06-22,2018.953,6,2,0
2015-06-23,836.9580000000001,6,2,0
2015-06-25,857.08,6,2,0
2015-06-26,1592.1960000000001,6,2,0
2015-06-28,1386.466,6,2,0
2015-06-29,432.92600000000004,6,2,0
2015-07-02,1631.902,7,3,0
2015-07-03,823.982,7,3,0
2015-07-04,1138.288,7,3,0
2015-07-05,121.646,7,3,0
2015-07-06,1379.812,7,3,0
2015-07-08,21.12,7,3,0
2015-07-09,1587.114,7,3,0
2015-07-10,43.286,7,3,0
2015-07-11,1941.952,7,3,0
2015-07-12,2052.567,7,3,0
2015-07-13,2033.2559999999999,7,3,0
2015-07-14,860.9159999999999,7,3,0
2015-07-16,3029.386,7,3,0
2015-07-17,448.082,7,3,0
2015-07-18,672.418,7,3,0
2015-07-19,2.025,7,3,0
2015-07-20,2693.168,7,3,0
2015-07-23,208.272,7,3,0
2015-07-24,525.95,7,3,0
2015-07-25,2395.024,7,3,0
2015-07-26,969.225,7,3,0
2015-07-27,29.97,7,3,0
2015-07-30,443.802,7,3,0
